"set_num","name","year","theme_id","num_parts","img_url","description"
"6515-1","Stunt Copter","1994","67","35","https://cdn.rebrickable.com/media/sets/6515-1.jpg",""
"65153-1","Jango Fett's Slave I with Bonus Carrying Case","2002","158","1","https://cdn.rebrickable.com/media/sets/65153-1.jpg",""
"6516-1","Moon Walker","1995","88","34","https://cdn.rebrickable.com/media/sets/6516-1.jpg",""
"6517-1","Water Jet","1996","67","29","https://cdn.rebrickable.com/media/sets/6517-1.jpg",""
"65175-1","Bob the Builder Co-Pack #2","2002","626","0","https://cdn.rebrickable.com/media/sets/65175-1.jpg",""
"65177-1","Bob the Builder Co-Pack #1","2002","626","0","https://cdn.rebrickable.com/media/sets/65177-1.jpg",""
"6518-1","Baja Buggy","1996","67","37","https://cdn.rebrickable.com/media/sets/6518-1.jpg",""
"65182-1","Slammer Stadium","2003","461","22","https://cdn.rebrickable.com/media/sets/65182-1.jpg","
Despite depictions of parts on the rear of the boxart, the set does not include additional white helmets beyond those included with the boxed sets enclosed. This results in one player always wearing a black helmet while the other three play in white helmets.Also, while the boxart depicts a unique sticker sheet potentially combining stickers for chest logos and helmet numbers, additional copies of the existing sticker sheets from set 10127-1 were included instead.
"
"65186-1","Bohrok 3-pack (contains 8560 8561 8564)","2002","324","0","https://cdn.rebrickable.com/media/sets/65186-1.jpg",""
"6519-1","Turbo Tiger","2000","91","47","https://cdn.rebrickable.com/media/sets/6519-1.jpg",""
"6520-1","Mobile Outpost","2000","51","219","https://cdn.rebrickable.com/media/sets/6520-1.jpg",""
"652-1","1:87 Mercedes Truck/Trailer","1964","368","1","https://cdn.rebrickable.com/media/sets/652-1.jpg",""
"6521-1","Emergency Repair Truck","1987","67","58","https://cdn.rebrickable.com/media/sets/6521-1.jpg",""
"652-2","Fork Lift Truck and Trailer","1972","416","42","https://cdn.rebrickable.com/media/sets/652-2.jpg","
Available in the US as 450.
"
"6522-1","Highway Patrol","1987","67","38","https://cdn.rebrickable.com/media/sets/6522-1.jpg",""
"65221-1","Streetball 2 vs 2 (box with mini basketball)","2003","459","1","https://cdn.rebrickable.com/media/sets/65221-1.jpg",""
"65229-1","Rahkshi Co-Pack 1","2003","324","0","https://cdn.rebrickable.com/media/sets/65229-1.jpg",""
"65230-1","Rahkshi Co-Pack 2","2003","324","0","https://cdn.rebrickable.com/media/sets/65230-1.jpg",""
"6523-1","Red Cross","1987","67","51","https://cdn.rebrickable.com/media/sets/6523-1.jpg",""
"6524-1","Blizzard Blazer","1988","67","50","https://cdn.rebrickable.com/media/sets/6524-1.jpg","
Known in Europe as “Snow Plough”
"
"6525-1","Blaze Commander","1995","67","50","https://cdn.rebrickable.com/media/sets/6525-1.jpg",""
"65251-1","Bob the Builder Co-Pack #3","2002","626","0","https://cdn.rebrickable.com/media/sets/65251-1.jpg",""
"65258-1","Power Chamber with Gahlok Tahnok Va Pahrak Va and Gahlok Va","2003","324","0","https://cdn.rebrickable.com/media/sets/65258-1.jpg",""
"6526-1","Red Line Racer","1989","67","49","https://cdn.rebrickable.com/media/sets/6526-1.jpg",""
"6527-1","Tipper Truck","1989","67","43","https://cdn.rebrickable.com/media/sets/6527-1.jpg",""
"65277-1","Rahkshi Kaita Za Pack (Includes Turahk Lerahk Kurahk and Tahnok Va)","2003","324","0","https://cdn.rebrickable.com/media/sets/65277-1.jpg",""
"6528-1","Sand Storm Racer","1989","67","39","https://cdn.rebrickable.com/media/sets/6528-1.jpg",""
"6529-1","Ultra Light I","1990","67","35","https://cdn.rebrickable.com/media/sets/6529-1.jpg",""
"65295-1","Matoro and Kopeke Twin Pack with Gold Avohkii","2003","324","1","https://cdn.rebrickable.com/media/sets/65295-1.jpg",""
"65296-1","Hewkii and Hahli Twin Pack with Gold Avohkii","2003","324","1","https://cdn.rebrickable.com/media/sets/65296-1.jpg",""
"65297-1","Hafu and Macku Twin Pack with Gold Avohkii","2003","324","1","https://cdn.rebrickable.com/media/sets/65297-1.jpg",""
"6530-1","Sport Coupe","1990","67","43","https://cdn.rebrickable.com/media/sets/6530-1.jpg",""
"653-1","Ambulance and Helicopter","1973","420","37","https://cdn.rebrickable.com/media/sets/653-1.jpg","
Available in the US as 460.
"
"6531-1","Flame Chaser","1991","67","56","https://cdn.rebrickable.com/media/sets/6531-1.jpg","
Pieces 3005 x 2 in red, 3020 x 1 in black, 3032 x 1 in red and 4286 x 2 in red are only needed for the re-release version of this set that had a RSQ911 flash in the top right corner of the box.3710 x 1 in red and 4865 x 2 in red are not in the re-release version.
"
"653-2","1:87 Mercedes Flatbed Truck","1964","368","1","https://cdn.rebrickable.com/media/sets/653-2.jpg",""
"6532-1","Diesel Dumper","1991","67","47","https://cdn.rebrickable.com/media/sets/6532-1.jpg",""
"6533-1","Police 4x4","1992","67","62","https://cdn.rebrickable.com/media/sets/6533-1.jpg",""
"65340-1","Dumper and Front End Loader Co-Pack (contains 8451 and 8453)","2004","1","0","https://cdn.rebrickable.com/media/sets/65340-1.jpg",""
"6534-1","Beach Bandit","1992","67","44","https://cdn.rebrickable.com/media/sets/6534-1.jpg",""
"6535-1","Dumper","1995","67","42","https://cdn.rebrickable.com/media/sets/6535-1.jpg",""
"6536-1","Aero Hawk","1993","67","48","https://cdn.rebrickable.com/media/sets/6536-1.jpg",""
"65362-1","Jewels-n-Rings Click-N-Store Jewelry Set Co-Pack","2004","500","1","https://cdn.rebrickable.com/media/sets/65362-1.jpg",""
"65363-1","Jewels-n-Bands Click-N-Store Jewelry Set Co-Pack","2004","500","1","https://cdn.rebrickable.com/media/sets/65363-1.jpg",""
"65364-1","Jewels-n-Clips Click-N-Store Jewelry Set Co-Pack","2004","500","1","https://cdn.rebrickable.com/media/sets/65364-1.jpg",""
"6537-1","Hydro Racer","1994","67","50","https://cdn.rebrickable.com/media/sets/6537-1.jpg",""
"6538-1","Rebel Roadster","1994","67","57","https://cdn.rebrickable.com/media/sets/6538-1.jpg","
For a smaller scale reproduction, see set 30510-1.
"
"6539-1","Victory Cup Racers","1993","67","460","https://cdn.rebrickable.com/media/sets/6539-1.jpg",""
"6540-1","Pier Police","1991","67","357","https://cdn.rebrickable.com/media/sets/6540-1.jpg",""
"654-1","Crane Lorry","1973","416","33","https://cdn.rebrickable.com/media/sets/654-1.jpg","
Not available in the USA.
"
"6541-1","Intercoastal Seaport","1991","67","551","https://cdn.rebrickable.com/media/sets/6541-1.jpg",""
"654-2","1:87 Mercedes Flatbed Truck/Trailer","1964","368","2","https://cdn.rebrickable.com/media/sets/654-2.jpg",""
"6542-1","Launch & Load Seaport","1991","67","1078","https://cdn.rebrickable.com/media/sets/6542-1.jpg",""
"6543-1","Sail N' Fly Marina","1994","67","711","https://cdn.rebrickable.com/media/sets/6543-1.jpg",""
"6544-1","Shuttle Transcon 2","1995","88","348","https://cdn.rebrickable.com/media/sets/6544-1.jpg",""
"6545-1","Search N' Rescue","1996","67","291","https://cdn.rebrickable.com/media/sets/6545-1.jpg",""
"6546-1","Slick Racer","1996","67","39","https://cdn.rebrickable.com/media/sets/6546-1.jpg",""
"65462-1","Bonus/Value Pack","2004","279","0","https://cdn.rebrickable.com/media/sets/65462-1.jpg",""
"65468-1","Toa Metru Twin Pack with Kanoka and Poster","2004","324","0","https://cdn.rebrickable.com/media/sets/65468-1.jpg",""
"6547-1","Fun Fair","1997","90","204","https://cdn.rebrickable.com/media/sets/6547-1.jpg",""
"6548-1","Octan Gas Station","1997","94","133","https://cdn.rebrickable.com/media/sets/6548-1.jpg",""
"6549-1","Roadblock Runners","1997","94","193","https://cdn.rebrickable.com/media/sets/6549-1.jpg",""
"6550-1","Outback Racer","1997","89","49","https://cdn.rebrickable.com/media/sets/6550-1.jpg",""
"655-1","Mobile Hydraulic Lift","1973","416","34","https://cdn.rebrickable.com/media/sets/655-1.jpg","
Not available in the USA.
"
"6551-1","Checkered Flag 500","1992","67","193","https://cdn.rebrickable.com/media/sets/6551-1.jpg",""
"65514-1","Matoran / Vahki Co-Pack 1 (contains 8607 8611 8614 8616 8618)","2004","324","0","https://cdn.rebrickable.com/media/sets/65514-1.jpg",""
"65515-1","Matoran / Vahki Co-Pack 2 (contains 8610 8612 8615 8617 8619)","2004","324","0","https://cdn.rebrickable.com/media/sets/65515-1.jpg",""
"65517-1","Dora the Explorer Value Pack","2004","628","0","https://cdn.rebrickable.com/media/sets/65517-1.jpg",""
"65518-1","Spider-Man Co-Pack 1","2004","706","0","https://cdn.rebrickable.com/media/sets/65518-1.jpg",""
"655-2","1:87 Mercedes Fire Truck","1964","368","1","https://cdn.rebrickable.com/media/sets/655-2.jpg",""
"6552-1","Rocky River Retreat","1993","67","241","https://cdn.rebrickable.com/media/sets/6552-1.jpg",""
"65524-1","Motorized Hogwarts Express Value-pack","2004","246","0","https://cdn.rebrickable.com/media/sets/65524-1.jpg",""
"65527-1","Vladek's Attack","2004","198","0","https://cdn.rebrickable.com/media/sets/65527-1.jpg","
Also known as K8800 in some catalogs
"
"6553-1","Crisis News Crew","1997","89","136","https://cdn.rebrickable.com/media/sets/6553-1.jpg",""
"65535-1","X-Pod Play Off Game Pack","2004","478","2","https://cdn.rebrickable.com/media/sets/65535-1.jpg",""
"65537-1","Classic Freight Train","2004","236","0","https://cdn.rebrickable.com/media/sets/65537-1.jpg",""
"6554-1","Blaze Brigade","1997","94","259","https://cdn.rebrickable.com/media/sets/6554-1.jpg",""
"65542-1","Sweet Dreamy Jewels Click-N-Store Jewelry Set Co-Pack","2004","500","1","https://cdn.rebrickable.com/media/sets/65542-1.jpg",""
"65545-1","Ta-Metru Collector's Pack","2004","324","1","https://cdn.rebrickable.com/media/sets/65545-1.jpg",""
"65549-1","Bionicle Bonus Pack","2004","324","0","https://cdn.rebrickable.com/media/sets/65549-1.jpg","
Included three Bionicle comic books
"
"6555-1","Sea Hunter","1997","86","38","https://cdn.rebrickable.com/media/sets/6555-1.jpg",""
"6556-1","Scuba Squad","1997","86","77","https://cdn.rebrickable.com/media/sets/6556-1.jpg",""
"6557-1","Treasure Hunters","1997","86","144","https://cdn.rebrickable.com/media/sets/6557-1.jpg",""
"65572-1","Spider-Man Co-Pack","2005","706","0","https://cdn.rebrickable.com/media/sets/65572-1.jpg",""
"65573-1","Rumble Racers","2005","112","0","https://cdn.rebrickable.com/media/sets/65573-1.jpg",""
"65579-1","Knights' Kingdom Value Pack","2004","198","1","https://cdn.rebrickable.com/media/sets/65579-1.jpg",""
"65580-1","Knights' Kingdom Value Pack","2004","198","1","https://cdn.rebrickable.com/media/sets/65580-1.jpg",""
"6558-1","Shark Cage Cove","1997","86","198","https://cdn.rebrickable.com/media/sets/6558-1.jpg",""
"6559-1","Deep Sea Bounty","1997","86","351","https://cdn.rebrickable.com/media/sets/6559-1.jpg",""
"6560-1","Diving Expedition Explorer","1997","86","478","https://cdn.rebrickable.com/media/sets/6560-1.jpg",""
"656-1","Car and Caravan","1974","423","49","https://cdn.rebrickable.com/media/sets/656-1.jpg","
Not available in the USA.
"
"6561-1","Hot Rod Club","1994","67","242","https://cdn.rebrickable.com/media/sets/6561-1.jpg",""
"656-2","1:87 Mercedes Tow Truck","1964","368","1","https://cdn.rebrickable.com/media/sets/656-2.jpg",""
"6562-1","Gas Stop Shop","1995","67","227","https://cdn.rebrickable.com/media/sets/6562-1.jpg","
Also known as ""Octan Service Station""
"
"6563-1","Gator Landing","1996","67","238","https://cdn.rebrickable.com/media/sets/6563-1.jpg",""
"6564-1","Recycle Truck","1997","94","35","https://cdn.rebrickable.com/media/sets/6564-1.jpg",""
"65642-1","The Grand Tournament Limited Edition Bonus Pack","2004","198","2","https://cdn.rebrickable.com/media/sets/65642-1.jpg",""
"6565-1","Construction Crew","1997","94","78","https://cdn.rebrickable.com/media/sets/6565-1.jpg",""
"6566-1","Security Express","1997","94","106","https://cdn.rebrickable.com/media/sets/6566-1.jpg",""
"6567-1","Speed Splash","1998","87","29","https://cdn.rebrickable.com/media/sets/6567-1.jpg",""
"6568-1","Drag Race Rally","1998","87","297","https://cdn.rebrickable.com/media/sets/6568-1.jpg",""
"6569-1","Polar Scout / Polar Explorer Co-Pack","2000","51","0","https://cdn.rebrickable.com/media/sets/6569-1.jpg",""
"6570-1","Snowmobile","1998","51","44","https://cdn.rebrickable.com/media/sets/6570-1.jpg","
This set was never released for retail sale but the building instructions were provided for digital download.
"
"65705-1","Make and Create Co-Pack","2003","204","0","https://cdn.rebrickable.com/media/sets/65705-1.jpg",""
"65708-1","Spider-man Co-pack","2004","287","0","https://cdn.rebrickable.com/media/sets/65708-1.jpg",""
"657-1","Executive Jet","1974","412","37","https://cdn.rebrickable.com/media/sets/657-1.jpg","
Not available in the USA.
"
"6571-1","Flame Fighters","1994","67","433","https://cdn.rebrickable.com/media/sets/6571-1.jpg",""
"65716-1","Limited Edition Collector Pack with Vohtarak Sidorak and Life-Size Toa Hordika Mask (8742 8756)","2004","324","0","https://cdn.rebrickable.com/media/sets/65716-1.jpg",""
"657-2","1:87 Mercedes Delivery Van","1964","368","1","https://cdn.rebrickable.com/media/sets/657-2.jpg",""
"6572-1","Wind Runners","1998","87","52","https://cdn.rebrickable.com/media/sets/6572-1.jpg",""
"6573-1","Arctic Expedition","2000","51","121","https://cdn.rebrickable.com/media/sets/6573-1.jpg",""
"65743-1","City Construction Value Pack","2005","56","0","https://cdn.rebrickable.com/media/sets/65743-1.jpg",""
"6575-1","Polar Base","2000","51","441","https://cdn.rebrickable.com/media/sets/6575-1.jpg",""
"65757-1","Special Edition Guardian Toa","2005","324","0","https://cdn.rebrickable.com/media/sets/65757-1.jpg",""
"6576-1","Sledge","1998","51","24","https://cdn.rebrickable.com/media/sets/6576-1.jpg","
This sets actual existence is unknown.
"
"65766-1","Thomas Bridge & Tunnel Set","2005","631","15","https://cdn.rebrickable.com/media/sets/65766-1.jpg",""
"65767-1","Attack from the Sea","2005","198","0","https://cdn.rebrickable.com/media/sets/65767-1.jpg",""
"65768-1","Jayko Value Pack","2005","198","1","https://cdn.rebrickable.com/media/sets/65768-1.jpg",""
"65769-1","Vladek Value Pack","2005","198","0","https://cdn.rebrickable.com/media/sets/65769-1.jpg",""
"6577-1","Snow Scooter","2000","51","21","https://cdn.rebrickable.com/media/sets/6577-1.jpg",""
"65771-1","Episode III Collectors' Set","2005","158","2","https://cdn.rebrickable.com/media/sets/65771-1.jpg",""
"65773-1","James and Percy Tunnel Set","2005","631","1","https://cdn.rebrickable.com/media/sets/65773-1.jpg",""
